x,y
4.8887815,16.273323
4.0543637,14.285343
5.549884,15.278526
3.9184864,15.490052
2.4733274,15.347196
3.7599332,16.574068
5.374932,15.680565
3.9295871,13.82555
2.084674,14.438786
4.386545,14.017828
2.6574411,14.38213
5.2958794,15.5738
4.04209,16.583426
3.9374287,15.667826
5.451719,15.80641
3.1506653,16.49102
2.9591367,16.244253
4.0578966,15.784387
4.1064687,14.858458
4.3473287,16.350904
2.247481,14.213795
2.9271808,16.27521
3.9185965,16.154028
2.3407047,15.21874
5.525243,15.755726
2.4451797,15.32702
3.8486094,15.104453
2.4984274,14.205538
2.3493035,15.020602
4.069275,13.661209
5.255398,15.327894
3.9252539,16.435297
4.730055,15.62349
3.1074536,16.455162
4.5982666,16.359344
3.8255,13.591001
3.1286778,16.566805
3.185777,16.644585
5.5362234,15.305653
-3.880707,-0.9915387
-3.264848,-0.46878222
-2.8184278,0.09939604
-3.156463,-2.2858686
-3.8910775,-3.399577
-3.8051429,-3.3206487
-3.2412329,-3.5244558
-1.6634678,-0.9126116
-4.252018,-1.6497262
-4.494494,-2.2590606
-4.13762,-3.0014567
-4.3374195,-1.9290268
-4.174581,-2.5024788
-1.8659042,-0.5810706
-3.8955016,-1.2021039
-4.153358,-0.21123004
-2.05228,-0.46685302
-4.214318,-0.28328538
-4.484682,-0.64864254
-4.004227,-3.487326
-4.0010376,-3.387956
-4.403992,-0.5211146
-2.6397831,-2.137303
-3.4999313,-3.5721989
-3.6275842,-0.9502012
-4.371012,-0.43157694
-1.9310851,-0.5074261
-3.7632518,-1.3995795
-1.9849579,-0.4976738
-2.4702864,-0.039608397
-2.4621513,-2.3041759
-1.6501375,-0.9467911
-3.5872483,-3.5430062
-3.7072124,-0.13155039
-4.050076,-3.3017235
-2.862629,0.068874374
-3.3962972,-3.5838625
-3.959801,-3.149935
-3.0749545,0.09737644
-3.9207952,-1.6977959
-4.282468,-2.1830943
-2.3542871,-0.21264532
-3.5606878,-0.86434776
-3.211686,0.072469756
-4.5485425,-2.2200139
-3.7066064,-2.022245
-2.631029,-2.2302928
-3.8086174,-3.329108
-3.4322386,-0.47056955
-4.0580273,-0.15469372
-1.7596782,-1.1715689
-3.490178,-2.3425717
-3.0733159,-0.13352363
-4.47518,-0.60672414
-2.733251,0.1734316
-4.2484736,-1.6664486
-2.5291188,-1.9727734
-4.4562416,-2.360939
-4.1915693,-2.0277143
-3.580211,-0.49058786
-3.014237,-2.3101618
-1.5920159,-1.0064751
-2.776757,-2.3305318
-4.038967,-3.3577974
-2.9582963,-3.3199887
-4.2240906,-1.319571
-4.1921005,-1.6603845
-3.529522,-0.88920087
-1.8672576,-0.57950944
-1.9362825,-0.6021221
-4.517614,-0.65225124
-3.6808093,-2.1812859
-2.5846815,-2.046898
-1.6271757,-1.052853
-4.266053,-1.3939937
-4.1396246,-0.29126883
-3.0490158,-0.055618312
-3.3424883,-0.7306734
-4.580187,-2.0985775
-3.6119275,-3.5644636
-4.0549498,-0.18288946
-3.2313504,-2.1973884
-2.371783,-1.8266082
-2.0315115,-0.4524545
-3.3773909,-3.5858178
-2.8838637,-0.05243358
-1.6979549,-1.1176685
-2.4901092,-2.3062727
-4.0609417,-0.120629475
-4.626905,-0.8018081
-4.0904865,-3.5674713
-1.6492902,-0.89549273
-2.7496402,-2.2213454
-2.7329636,0.1515185
-3.6591253,-1.0654052
-4.0024295,-3.449779
-3.0377338,-3.415252
-2.3875782,-2.2719882
-2.6768353,0.15471336
-3.9991028,-1.8643014
